name	LWR	fract	aLWR	afract	taxopath
query_3612	0.001827	1	0.001827	1	DISTANT
query_4172	0.000566	1	0.000566	1	DISTANT
query_4689	0.001544	0.957	0.001544	0.957	DISTANT
query_4946	0.001904	0.8343	0.001904	0.8343	cluster_IV
query_148	0.001291	1	0.001291	1	cluster_IV;d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_574	0.001521	0.9739	0.001521	0.9739	DISTANT
query_1459	0.07959	0.739	0.1075	0.9984	cluster_IV
query_1601	0.007641	0.5995	0.01275	1	cluster_IV
query_2073	0.3203	0.8958	0.3203	0.8958	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_2686	0.003079	0.6384	0.003079	0.6384	cluster_IV;d__Archaea;p__Halobacterota
query_3290	0.005681	0.4483	0.01053	0.8307	cluster_IV
query_4505	0.001827	1	0.001827	1	DISTANT
query_548	0.001618	1	0.001618	1	DISTANT
query_856	0.00088	0.5042	0.00088	0.5042	DISTANT
query_2026	0.03355	0.4203	0.03355	0.4203	DISTANT
query_2300	0.01317	0.7093	0.01317	0.7093	cluster_IV;d__Archaea;p__Halobacterota
query_3118	0.001837	1	0.001837	1	DISTANT
query_3655	0.01317	0.7093	0.01317	0.7093	cluster_IV;d__Archaea;p__Halobacterota
query_3749	0.00451	0.9921	0.00451	0.9921	cluster_IV
query_4383	0.005114	0.9251	0.005114	0.9251	cluster_IV
query_4591	0.00181	1	0.00181	1	DISTANT
query_89	0.001638	0.9524	0.001638	0.9524	cluster_III;d__Bacteria
query_2310	0.0006603	0.4049	0.0006603	0.4049	cluster_IV;d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp000969965
query_2705	0.06114	0.7709	0.06756	0.8518	cluster_IV
query_3742	0.001666	1	0.001666	1	DISTANT
query_3870	0.00092	1	0.00092	1	DISTANT
query_4463	0.01917	0.8196	0.01917	0.8196	cluster_IV;d__Archaea;p__Halobacterota
query_188	0.5535	0.5703	0.5535	0.5703	DISTANT
query_1097	0.003943	0.809	0.003943	0.809	cluster_IV
query_1211	0.04556	0.8176	0.04556	0.8176	cluster_IV
query_1390	0.003943	0.809	0.003943	0.809	cluster_IV
query_1803	0.001534	0.9528	0.001534	0.9528	DISTANT
query_1945	0.004627	0.9759	0.004627	0.9759	cluster_IV
query_2220	0.0006088	0.632	0.0006088	0.632	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
query_2327	0.000989	0.6171	0.000989	0.6171	DISTANT
query_2881	0.1411	0.7054	0.1937	0.9686	cluster_IV
query_3485	0.02655	0.6001	0.02655	0.6001	cluster_IV;d__Archaea;p__Halobacterota
query_3624	0.04556	0.8176	0.04556	0.8176	cluster_IV
query_3929	0.000816	0.5092	0.000816	0.5092	cluster_III;d__Bacteria
query_4128	0.006373	0.7787	0.006373	0.7787	cluster_IV;d__Archaea;p__Halobacterota
query_4202	0.001061	0.6433	0.001061	0.6433	cluster_IV;d__Bacteria;p__Myxococcota;c__UBA9042
query_4338	0.5353	0.5534	0.849	0.8778	cluster_IV;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales
query_4564	0.0009854	0.6149	0.0009854	0.6149	DISTANT
query_4714	0.008611	0.9768	0.008611	0.9768	cluster_IV;d__Bacteria;p__Myxococcota;c__UBA9042
query_4878	0.02335	0.3438	0.04907	0.7225	cluster_I;d__Bacteria;p__Campylobacterota;c__Campylobacteria
query_10	0.0009642	0.6017	0.0009642	0.6017	DISTANT
query_124	0.001639	1	0.001639	1	DISTANT
query_259	0.002614	0.7801	0.002614	0.7801	cluster_IV
query_386	0.001372	0.833	0.001372	0.833	cluster_III;d__Bacteria
query_773	0.04539	0.6379	0.04539	0.6379	cluster_IV
